,product_name,ratings,sale_price,actual_price
41,Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Grey/1.63Kg),3.8,"56,990","82,990"
42,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,4.0,"24,990","38,000"
43,Walker Thin & Light Laptop,3.6,"12,990","30,000"
44,"(Renewed) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)  ",3.5,"16,499",
45,Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41,3.9,"33,990","56,999"
46,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display",3.3,"19,990","30,999"
47,ASUS TUF Gaming F17 (2022) Intel Core i5-12500H Gaming Laptop,3.5,"68,290","1,05,990"
48,MSI Modern 14,,"36,990","55,990"
49,ASUS TUF F15 Gaming Laptop,3.9,"53,930","80,990"
50,Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg),4.0,"33,990","55,190"
51,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 16"" (40.6cm) WUXGA-IPS 300Nit Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3 mon Game Pass/Grey/1.9Kg)",3.1,"79,190","1,11,190"
52,Dell 15 Thin & Light Laptop,3.5,"47,990","67,457"
53,Acer Aspire 3 Laptop 12th Gen Intel Core i3-1215U (Windows 11 Home/16GB RAM/1TB SSD),,"34,990","47,999"
54,Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52,3.9,"31,699","52,990"
55,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO 21/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg)",4.0,"34,990","58,890"
56,HP Pavilion 14,4.1,"61,990","73,688"
57,Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 4050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41,4.3,"74,990","1,01,999"
58,(Refurbished) Dell Precision 5540 Laptop / Intel Core i9-9880H / 32GB RAM / 1TB SSD / Nvidia Quadro T2000 with 4GB Graphics / Windows 11 Pro / 15.6 inches Ultra HD 4K Touchscreen Display  ,5.0,"61,999","2,20,000"
59,HP Laptop 15s,3.9,"47,520","64,235"
60,"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm (14"") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51",5.0,"37,990","53,000"
61,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg)",4.4,"1,07,990","1,46,890"
62,ASUS TUF F15 Gaming Laptop,3.9,"53,930","80,990"
63,Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52,3.9,"29,990","52,990"
64,ZEBRONICS PRO Series Z NBC 5S,3.7,"37,990","78,999"
65,"Lenovo ThinkBook 16 Intel 13th Gen Core i3 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/Office 2021/Arctic Grey/1.7 Kg)",3.9,"36,990","73,800"
66,"(Refurbished) Lenovo ThinkPad L480 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)  ",3.2,"18,640","50,000"
67,(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop,3.6,"21,210","1,00,000"
68,ASUS Vivobook 15 (2023),3.4,"54,990","74,990"
69,Primebook S 4G,4.5,"14,990","24,490"
70,"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display  ",3.8,"22,890","38,999"
71,HP Laptop 15s,4.0,"31,749","44,783"
72,ASUS Vivobook 15,4.5,"32,490","39,999"
73,ASUS Vivobook 16X,4.7,"64,990","77,990"
74,(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop,3.1,"21,375","59,999"
75,ASUS Vivobook 15 Thin and Light Laptop,3.9,"53,990","76,990"
76,ASUS Vivobook 15 (2023),4.0,"40,480","57,990"
77,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM|256 GB SSD|14"" (39.6 cm) HD|Windows 11|MS Office|WiFi|BT|Webcam|Intel Graphics)  ",,"14,499","89,999"
